gbifID;species;countryCode;decimalLatitude;decimalLongitude
1895692174;Lontra longicaudis;MX;;
1895692168;Lontra longicaudis;MX;;
1895692162;Lontra longicaudis;MX;;
1895692157;Lontra longicaudis;MX;;
1895637166;Lontra longicaudis;MX;;
1895637135;Lontra longicaudis;MX;21.144167;-101.915833
1895637100;Lontra longicaudis;MX;17.326667;-95.235
1895637076;Lontra longicaudis;MX;20.613333;-105.231111
1895637074;Lontra longicaudis;MX;18.583333;-103.683333
1895637051;Lontra longicaudis;MX;15.786667;-96.586667
1895637046;Lontra longicaudis;MX;19.383889;-104.968333
1895637038;Lontra longicaudis;MX;18.186944;-98.288889
1895637024;Lontra longicaudis;MX;20.551667;-104.055833
1895637023;Lontra longicaudis;MX;19.319167;-104.183333
1895637009;Lontra longicaudis;MX;22.01;-103.225556
1895637003;Lontra longicaudis;MX;19.46976926;-104.184392
1895637001;Lontra longicaudis;MX;;
1895636998;Lontra longicaudis;MX;15.965;-96.4575
1895636983;Lontra longicaudis;MX;15.36507291;-92.59259678
1895636979;Lontra longicaudis;MX;18.436667;-95.216944
1895636967;Lontra longicaudis;MX;19.641111;-105.1825
1895636960;Lontra longicaudis;MX;16.963056;-99.096944
1895636956;Lontra longicaudis;MX;15.319444;-92.658333
1895636952;Lontra longicaudis;MX;15.915556;-92.173611
1895636945;Lontra longicaudis;MX;16.5;-94.033333
1895636936;Lontra longicaudis;MX;19.940833;-105.248611
1895636932;Lontra longicaudis;MX;22.255278;-97.868611
1895636928;Lontra longicaudis;MX;18.419444;-95.113611
1895636912;Lontra longicaudis;MX;;
1895636911;Lontra longicaudis;MX;25.732778;-103.629722
1895636906;Lontra longicaudis;MX;20.806111;-105.247778
1895636903;Lontra longicaudis;MX;;
1895636892;Lontra longicaudis;MX;;
1895636887;Lontra longicaudis;MX;18.53205;-95.01271
1895636882;Lontra longicaudis;MX;28.631667;-106.071944
1895636881;Lontra longicaudis;MX;19.842222;-90.531667
1895636871;Lontra longicaudis;MX;20.613333;-105.231111
1895636867;Lontra longicaudis;MX;17.432778;-95.024444
1895636861;Lontra longicaudis;MX;18.466667;-100.5775
1895636855;Lontra longicaudis;MX;18.770278;-95.760556
1895636853;Lontra longicaudis;MX;19.072778;-100.255
1895636848;Lontra longicaudis;MX;18.6525;-99.652778
1895636840;Lontra longicaudis;MX;18.512368;-88.403461
1895636838;Lontra longicaudis;MX;20.145;-101.685556
1895636834;Lontra longicaudis;MX;19.77209559;-104.0379598
1895636833;Lontra longicaudis;MX;19.016111;-91.090556
1895636825;Lontra longicaudis;MX;18.849444;-97.103611
1895636821;Lontra longicaudis;MX;15.965;-96.4575
1895636816;Lontra longicaudis;MX;;
1895636815;Lontra longicaudis;MX;14.908056;-92.260556
1895636813;Lontra longicaudis;MX;;
1895636805;Lontra longicaudis;MX;;
1895636800;Lontra longicaudis;MX;29.87016;-108.28068
1895636794;Lontra longicaudis;MX;18.31389;-91.83667
1895636793;Lontra longicaudis;MX;;
1895636788;Lontra longicaudis;MX;21.65525;-106.53758
1895636782;Lontra longicaudis;MX;16.891944;-98.964722
1895636775;Lontra longicaudis;MX;21.516111;-104.893889
1895636774;Lontra longicaudis;MX;18.16128;-92.12111
1895636773;Lontra longicaudis;MX;16.6825;-98.571944
1895636771;Lontra longicaudis;MX;17.718889;-101.601389
1895636761;Lontra longicaudis;MX;20.019722;-100.309444
1895636760;Lontra longicaudis;MX;18.628333;-95.521667
1895636759;Lontra longicaudis;MX;22;-105
1895636755;Lontra longicaudis;MX;17.432778;-95.024444
1895636751;Lontra longicaudis;MX;;
1895636741;Lontra longicaudis;MX;20.201667;-99.958333
1895636738;Lontra longicaudis;MX;16.774167;-99.606111
1895636737;Lontra longicaudis;MX;26.84275;-99.56912
1895636735;Lontra longicaudis;MX;18.436667;-95.216944
1895636730;Lontra longicaudis;MX;18.171944;-100.146111
1895636722;Lontra longicaudis;MX;16.641667;-95.979444
1895636720;Lontra longicaudis;MX;16.501944;-91.064444
1895636718;Lontra longicaudis;MX;20.195556;-104.344444
1895636714;Lontra longicaudis;MX;23.38361;-105.37083
1895636711;Lontra longicaudis;MX;17.326667;-95.235
1895636708;Lontra longicaudis;MX;20.43;-103.309444
1895636701;Lontra longicaudis;MX;21.536111;-105.118889
1895636699;Lontra longicaudis;MX;22.01;-103.225556
1895636692;Lontra longicaudis;MX;16.077778;-97.559722
1895636689;Lontra longicaudis;MX;21.516111;-104.893889
1895636686;Lontra longicaudis;MX;28.829722;-109.627222
1895636684;Lontra longicaudis;MX;;
1895636680;Lontra longicaudis;MX;16.863056;-98.896389
1895636676;Lontra longicaudis;MX;19.251944;-103.378611
1895636669;Lontra longicaudis;MX;15.36424;-92.59266
1895636666;Lontra longicaudis;MX;21.236111;-103.165
1895636663;Lontra longicaudis;MX;18.560278;-103.326667
1895636660;Lontra longicaudis;MX;20.806111;-105.247778
1895636654;Lontra longicaudis;MX;27.023333;-108.932222
1895636650;Lontra longicaudis;MX;20.486944;-105.4475
1895636648;Lontra longicaudis;MX;15.951389;-96.494444
1895636643;Lontra longicaudis;MX;20.208889;-104.279444
1895636640;Lontra longicaudis;MX;17.5625;-99.005556
1895636636;Lontra longicaudis;MX;18.0736;-101.1745
1895636627;Lontra longicaudis;MX;27.296944;-108.054444
1895636625;Lontra longicaudis;MX;18.065278;-99.871111
1895636624;Lontra longicaudis;MX;17.698889;-92.865556
1895636619;Lontra longicaudis;MX;30.495278;-107.117222
1895636618;Lontra longicaudis;MX;19.766111;-96.721111
1895636611;Lontra longicaudis;MX;25.363333;-105.258889
1895636609;Lontra longicaudis;MX;17.509167;-91.982222
1895636604;Lontra longicaudis;MX;18.103056;-98.874722
1895636601;Lontra longicaudis;MX;25.183333;-104.55
1895636600;Lontra longicaudis;MX;19.354722;-90.637222
